,EA_conf,NotEA_conf
271,inf,0.08108515646891883
272,inf,0.08108515646891883
273,inf,inf
274,inf,0.08108515646891883
275,0.0627447501521638,0.08108515646891883
276,0.0627447501521638,0.08108515646891883
277,inf,0.08108515646891883
278,0.0627447501521638,0.08108515646891883
279,inf,0.08108515646891883
280,inf,inf
281,inf,0.08108515646891883
282,0.0627447501521638,0.08108515646891883
283,inf,inf
284,inf,0.08108515646891883
285,0.0627447501521638,0.08108515646891883
286,0.0627447501521638,0.08108515646891883
287,0.0627447501521638,0.08108515646891883
288,inf,0.08108515646891883
289,inf,0.08108515646891883
290,inf,0.08108515646891883
291,0.0627447501521638,0.08108515646891883
292,0.0627447501521638,0.08108515646891883
293,0.0627447501521638,0.08108515646891883
294,0.0627447501521638,0.08108515646891883
295,inf,0.08108515646891883
296,inf,inf
297,inf,0.08108515646891883
298,inf,0.08108515646891883
299,inf,inf
300,0.0627447501521638,0.08108515646891883
301,inf,0.08108515646891883
302,inf,0.08108515646891883
303,0.0627447501521638,0.08108515646891883
304,inf,0.08108515646891883
305,inf,inf
306,0.0627447501521638,0.08108515646891883
307,0.0627447501521638,0.08108515646891883
308,inf,inf
309,0.0627447501521638,0.08108515646891883
310,0.0627447501521638,0.08108515646891883
311,inf,0.08108515646891883
312,inf,0.08108515646891883
313,0.0627447501521638,0.08108515646891883
314,inf,0.08108515646891883
315,0.0627447501521638,0.08108515646891883
316,inf,0.08108515646891883
317,inf,0.08108515646891883
318,inf,inf
319,inf,0.08108515646891883
320,inf,0.08108515646891883
321,inf,0.08108515646891883
322,inf,0.08108515646891883
323,inf,inf
324,inf,0.08108515646891883
325,inf,0.08108515646891883
326,inf,0.08108515646891883
327,inf,inf
328,0.0627447501521638,0.08108515646891883
329,inf,0.08108515646891883
330,inf,inf
331,inf,0.08108515646891883
332,inf,inf
333,0.0627447501521638,0.08108515646891883
334,inf,0.08108515646891883
335,0.0627447501521638,0.08108515646891883
336,inf,0.08108515646891883
337,inf,0.08108515646891883
338,inf,0.08108515646891883
339,inf,0.08108515646891883
340,0.0627447501521638,0.08108515646891883
341,0.0627447501521638,0.08108515646891883
342,inf,inf
343,inf,0.08108515646891883
344,inf,inf
345,0.0627447501521638,0.08108515646891883
346,inf,0.08108515646891883
347,inf,0.08108515646891883
348,inf,0.08108515646891883
349,inf,inf
350,inf,inf
351,0.0627447501521638,0.08108515646891883
352,inf,inf
353,inf,0.08108515646891883
354,inf,0.08108515646891883
355,inf,0.08108515646891883
356,0.0627447501521638,0.08108515646891883
357,0.0627447501521638,0.08108515646891883
358,inf,0.08108515646891883
359,inf,inf
360,0.0627447501521638,0.08108515646891883
361,inf,0.08108515646891883
362,0.0627447501521638,0.08108515646891883
363,inf,0.08108515646891883
364,inf,inf
365,inf,0.08108515646891883
366,inf,0.08108515646891883
367,inf,inf
368,inf,inf
